ticker,sector,bloomberg_sector
HRL,Consumer Staples,S5CONS
BG,Consumer Staples,S5CONS
STZ,Consumer Staples,S5CONS
KR,Consumer Staples,S5CONS
MNST,Consumer Staples,S5CONS
DLTR,Consumer Staples,S5CONS
OXY,Energy,S5ENRS
OKE,Energy,S5ENRS
CVX,Energy,S5ENRS
COP,Energy,S5ENRS
XOM,Energy,S5ENRS
VLO,Energy,S5ENRS
TRGP,Energy,S5ENRS
SLB,Energy,S5ENRS
BKR,Energy,S5ENRS
DVN,Energy,S5ENRS
WMB,Energy,S5ENRS
CTRA,Energy,S5ENRS
PSX,Energy,S5ENRS
TPL,Energy,S5ENRS
APA,Energy,S5ENRS
EOG,Energy,S5ENRS
KMI,Energy,S5ENRS
EQT,Energy,S5ENRS
MPC,Energy,S5ENRS
HAL,Energy,S5ENRS
EXE,Energy,S5ENRS
FANG,Energy,S5ENRS
PCG,Utilities,S5UTIL
PPL,Utilities,S5UTIL
PNW,Utilities,S5UTIL
ATO,Utilities,S5UTIL
PEG,Utilities,S5UTIL
FE,Utilities,S5UTIL
EIX,Utilities,S5UTIL
AEE,Utilities,S5UTIL
SO,Utilities,S5UTIL
SRE,Utilities,S5UTIL
EVRG,Utilities,S5UTIL
XEL,Utilities,S5UTIL
DTE,Utilities,S5UTIL
WEC,Utilities,S5UTIL
AES,Utilities,S5UTIL
VST,Utilities,S5UTIL
CEG,Utilities,S5UTIL
AEP,Utilities,S5UTIL
CMS,Utilities,S5UTIL
LNT,Utilities,S5UTIL
ED,Utilities,S5UTIL
NRG,Utilities,S5UTIL
D,Utilities,S5UTIL
AWK,Utilities,S5UTIL
DUK,Utilities,S5UTIL
ETR,Utilities,S5UTIL
EXC,Utilities,S5UTIL
NEE,Utilities,S5UTIL
CNP,Utilities,S5UTIL
NI,Utilities,S5UTIL
ES,Utilities,S5UTIL
PPG,Materials,S5MATR
ALB,Materials,S5MATR
SHW,Materials,S5MATR
LIN,Materials,S5MATR
IP,Materials,S5MATR
APD,Materials,S5MATR
AVY,Materials,S5MATR
BALL,Materials,S5MATR
VMC,Materials,S5MATR
PKG,Materials,S5MATR
